tag_id,created_at,updated_at,ttype,content,edge_id
111,2025-12-04 17:36:41.016799,2025-12-04 17:36:41.016799,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",126
112,2025-12-04 17:36:41.471521,2025-12-04 17:36:41.471521,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",128
113,2025-12-04 17:36:41.473865,2025-12-04 17:36:41.473865,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",129
116,2025-12-04 17:36:42.261826,2025-12-04 17:36:42.261826,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",134
118,2025-12-04 17:36:42.295749,2025-12-04 17:36:42.295749,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",136
119,2025-12-04 17:36:42.330449,2025-12-04 17:36:42.33045,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",140
120,2025-12-04 17:36:42.395111,2025-12-04 17:36:42.395112,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",142
147,2025-12-04 17:36:52.239011,2025-12-04 17:36:52.239011,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",181
148,2025-12-04 17:36:52.346578,2025-12-04 17:36:52.346578,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",183
149,2025-12-04 17:36:52.366829,2025-12-04 17:36:52.366829,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",185
150,2025-12-04 17:36:52.406988,2025-12-04 17:36:52.406989,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",187
151,2025-12-04 17:36:52.419978,2025-12-04 17:36:52.419978,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",188
152,2025-12-04 17:36:53.147027,2025-12-04 17:36:53.147027,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",189
153,2025-12-04 17:36:53.749177,2025-12-04 17:36:53.749177,SourceProperty,"{""name"": ""BGP.Tools"", ""confidence"": 100}",191
154,2025-12-04 17:36:53.762284,2025-12-04 17:36:53.762284,SourceProperty,"{""name"": ""BGP.Tools"", ""confidence"": 100}",192
155,2025-12-04 17:36:53.790193,2025-12-04 17:36:53.790193,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",193
156,2025-12-04 17:36:54.003652,2025-12-04 17:36:54.003652,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",194
157,2025-12-04 17:36:54.463258,2025-12-04 17:36:54.463258,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",195
158,2025-12-04 17:36:54.691922,2025-12-04 17:36:54.691923,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",196
159,2025-12-04 17:36:54.711202,2025-12-04 17:36:54.711202,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",197
160,2025-12-04 17:36:55.480201,2025-12-04 17:36:55.480201,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",198
161,2025-12-04 17:36:55.983547,2025-12-04 17:36:55.983547,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",199
162,2025-12-04 17:36:56.198189,2025-12-04 17:36:56.198189,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",200
163,2025-12-04 17:36:56.239792,2025-12-04 17:36:56.239792,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",201
164,2025-12-04 17:36:56.257919,2025-12-04 17:36:56.257919,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",202
165,2025-12-04 17:36:56.410391,2025-12-04 17:36:56.410391,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",203
166,2025-12-04 17:36:56.522975,2025-12-04 17:36:56.522975,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",204
167,2025-12-04 17:36:56.6472,2025-12-04 17:36:56.6472,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",205
168,2025-12-04 17:36:56.739236,2025-12-04 17:36:56.739236,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",206
169,2025-12-04 17:36:56.763732,2025-12-04 17:36:56.763732,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",207
170,2025-12-04 17:36:56.765196,2025-12-04 17:36:56.765196,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",208
171,2025-12-04 17:36:57.426634,2025-12-04 17:36:57.426634,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",209
172,2025-12-04 17:36:58.375876,2025-12-04 17:36:58.375876,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",210
173,2025-12-04 17:36:58.43637,2025-12-04 17:36:58.43637,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",211
174,2025-12-04 17:36:58.44809,2025-12-04 17:36:58.44809,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",212
175,2025-12-04 17:36:58.49774,2025-12-04 17:36:58.49774,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",213
176,2025-12-04 17:36:58.510065,2025-12-04 17:36:58.510065,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",214
177,2025-12-04 17:36:59.453767,2025-12-04 17:36:59.453767,SourceProperty,"{""name"": ""BGP.Tools"", ""confidence"": 100}",215
178,2025-12-04 17:36:59.461186,2025-12-04 17:36:59.461186,SourceProperty,"{""name"": ""BGP.Tools"", ""confidence"": 100}",216
179,2025-12-04 17:36:59.495432,2025-12-04 17:36:59.495432,SourceProperty,"{""name"": ""GitHub-IPVerse"", ""confidence"": 90}",217
180,2025-12-04 17:36:59.506528,2025-12-04 17:36:59.506528,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",218
181,2025-12-04 17:36:59.511262,2025-12-04 17:36:59.511262,SourceProperty,"{""name"": ""GitHub-IPVerse"", ""confidence"": 90}",219
182,2025-12-04 17:36:59.522565,2025-12-04 17:36:59.522565,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",220
191,2025-12-04 17:37:02.101808,2025-12-04 17:37:02.101808,SourceProperty,"{""name"": ""Contract-Record-Expansion"", ""confidence"": 100}",225
192,2025-12-04 17:37:02.377445,2025-12-04 17:37:02.377445,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",228
